Energy,Optimal_Thickness,AtCoefficient
0.01069,1.3371853750000002e-05,158000.3381775069
0.01142761,1.0443720773437501e-05,159684.85147582617
0.01221612,1.6317598814746097e-05,161396.17852074924
0.01305903,1.2748093674332885e-05,164014.03106442682
0.0139601,9.959445143103817e-06,171564.97046937677
0.01492335,1.5561632321205964e-05,185823.80275848153
0.01595306,1.215752522054247e-05,197596.43886433874
0.01705382,9.498066575508837e-06,206506.82162711234
0.01823053,7.420364511812282e-06,211577.52422051717
0.01948844,1.15943195496352e-05,214472.19769897813
0.02083314,9.058062148149462e-06,216487.30628435581
0.02227063,1.415322210648282e-05,214719.71066785927
0.023226,1.105720477068967e-05,214044.9328801984
0.0235815,8.6384412271013e-06,214033.5720537122
0.0236763,1.3497564417345784e-05,212996.9989755719
0.0238073,1.0544972201051393e-05,213125.9957340408
0.0238185,8.238259532071401e-06,213568.11897307192
0.024174,1.2872280518861566e-05,212051.5072106236
0.02545001,1.0056469155360597e-05,209620.29170205633
0.02720606,7.856616527625467e-06,204603.5149194069
0.02908327,1.2275963324414792e-05,205618.19059848963
0.03109002,9.590596347199058e-06,200758.3400680377
0.03323523,1.4985306792498528e-05,193028.1957339723
0.03552846,1.1707270931639474e-05,185604.45194438388
0.03704400000000001,9.146305415343339e-06,179725.49562234737
0.037611,1.4291102211473966e-05,177414.02193928394
0.0377622,1.1164923602714036e-05,177517.21749552854
0.03797993,1.744519312924068e-05,175704.6064107614
0.037989,1.3629057132219282e-05,176164.03606089554
0.038556,1.0647700884546315e-05,174624.42403783114
0.04060054,1.663703263210362e-05,166205.76505717327
0.04340198,1.2997681743830955e-05,169028.85443119056
0.04639671,1.0154438862367933e-05,161012.90818852905
0.04959809,1.5866310722449896e-05,147311.27427074168
0.05302035,1.2395555251913982e-05,133424.59513769005
0.05667876,1.9368055081115597e-05,119753.41379926981
0.06058959,1.5131293032121559e-05,107309.22084384708
0.06477028,2.3642645362689936e-05,96298.31595253665
0.06517,1.8470816689601513e-05,95554.5927667136
0.0661675,2.8860651077502365e-05,92967.79034574678
0.0664335,2.2547383654298722e-05,92566.9844720565
0.06683249999999999,1.7615143479920876e-05,91598.72975677699
0.06783,2.7523661687376373e-05,89296.58358551424
0.06923942,2.1502860693262794e-05,86700.09622957413
0.07401695,3.359821983322312e-05,80368.61399670731
0.07912411,2.6248609244705558e-05,72377.65362565382
0.08458368,4.1013451944852434e-05,64870.00029851945
0.09041995,3.204175933191596e-05,58498.51850280006
0.09665893,5.006524895611869e-05,52376.19690606121
0.1033284,3.911347574696773e-05,47250.747389694116
0.1104581,6.111480585463707e-05,42256.28649030377
0.1180797,4.774594207393521e-05,38024.92212110923
0.1262272,7.460303449052376e-05,33919.43362854928
0.1349368,5.8283620695721685e-05,30420.318974941983
0.1442475,9.106815733706513e-05,27047.998913016392
0.1542005,7.114699791958213e-05,24169.646181403477
0.1648404,0.00011116718424934709,21446.315990977964
0.1762144,8.684936269480241e-05,19057.333603468553
0.1883732,0.00013570212921062876,16899.46812138833
0.20137089999999996,0.00010601728844580373,14965.22194905683
0.2152655,0.00016565201319656831,13234.472486509358
0.2301188,0.000258831270619638,11626.162443974516
0.245997,0.00020221193017159217,10280.370882930185
0.2629708,0.00031595614089311276,9003.392194487767
0.2811158,0.00024684073507274433,7936.526077085611
0.3005128,0.000385688648551163,6931.056851912847
0.3212482,0.0003013192566805961,6078.514273776357
0.3434143,0.0004708113385634314,5288.793861670799
0.3671099,0.0003678213582526807,4621.339202473062
0.3924405,0.0005747208722698136,4017.651048912862
0.4195189,0.00044900068146079184,3490.327159022683
0.4484657,0.0007015635647824874,3030.608385858672
0.4794098,0.0010961930699726365,2616.104241971137
0.502642,0.0008564008359161223,2368.0100043744355
0.51009,0.0013381263061189412,2281.2176506187934
0.5103355,0.001045411176655423,2284.816249942152
0.5124891,0.000816727481762049,2271.1430202362153
0.5154645,0.0012761366902532016,2233.442430303253
0.5178975,0.0009969817892603137,2215.837870779369
0.5199795,0.00038944601142981,4722.987589401909
0.52136,0.0003042546964295391,5187.317769985894
0.5231025,0.00047539796317115483,5912.707585519175
0.523158,0.0003714046587274647,5953.651527320313
0.52934,0.0002901598896308318,10385.271821626271
0.53091,0.00022668741377408733,11115.68517526679
0.531468,0.00017709954201100572,11408.860082074732
0.5346599999999999,0.00013835901719609823,12645.041821881578
0.54264,0.00010809298218445175,21366.880825402568
0.5478508,8.444764233160293e-05,21192.187623639114
0.5856525,0.0001319494411431296,18552.542599892487
0.615636,0.00010308550089306999,16644.7697668089
0.625059,0.00016107109514542186,15992.759050122235
0.6260625,0.00012583679308236082,15990.882200452546
0.6275718,0.00019661998919118877,15822.73239308618
0.631341,0.00015360936655561624,15625.021108053334
0.640764,0.00012000731762157519,16350.845564169487
0.6692609,0.00018751143378371122,14725.391073374574
0.7154399,0.0001464933076435244,12668.866635651
0.7648052,0.0002288957931930069,10816.728538952471
0.8175768000000001,0.00017882483843203664,9237.247463777097
0.8739896,0.00027941381005005725,7869.517492022813
0.9342948,0.00043658407820321447,6659.27335039691
0.9987612,0.0003410813110962613,5663.3141442378865
1.067676,0.0005329395485879082,4773.328405093025
1.141345,0.0004163590223343033,4038.069280502069
1.220098,0.000650560972397349,3398.357183241442
1.304285,0.0010165015193708577,2854.5421981557483
1.394281,0.0007941418120084825,2409.138381823258
1.490486,0.001240846581263254,2014.5341908004568
1.593329,0.0009694113916119171,1690.4705608869958
1.703269,0.0015147052993936204,1418.9545690976643
1.820795,0.002366727030302532,1183.3759997657028
1.94643,0.0018490054924238531,993.2251924721808
2.0807329999999995,0.0028890710819122704,826.9682858484354
2.224304,0.004514173565487923,689.0084430632975
2.377781,0.0035266980980374397,576.5350384634125
2.541848,0.005510465778183499,478.9088606059969
2.717235,0.004305051389205859,399.9301984980808
2.904724,0.0067266427956341555,332.02023384778613
3.10515,0.010510379368178367,275.40705637361566
3.319406,0.008211233881389349,229.69692962697115
3.548445,0.012830052939670857,190.10062631224784
3.793288,0.010023478859117856,157.8962153567419
4.055024,0.01566168571737165,131.03968111653958
4.334821,0.024471383933393202,108.26353723750222
4.633924,0.01911826869796344,89.95913798214427
4.953664,0.02987229484056788,74.28857530316091
5.295467,0.046675460688387314,61.56411529399267
5.355798,0.03646520366280259,59.8195886687982
5.437774,0.028488440361564525,57.18546257398939
5.459635,0.04451318806494457,56.4907981766017
5.492425,0.008693982043934487,339.82384654939125
5.574402,0.006792173471823818,328.6870106617251
5.660855,0.005306385524862357,316.7730786941497
6.051453,0.008291227382597433,268.66808649441896
6.469004,0.012955042785308488,228.12012501702964
6.915365,0.010121127176022256,192.9088323090152
7.392525,0.015814261212534778,160.5381669411855
7.902609,0.012354891572292795,133.83014233716648
8.44789,0.01930451808170749,111.46037066813109
9.030794,0.030163309502667955,92.33766291221018
9.653919,0.023565085548959343,77.06903153862612
10.32004,0.036820446170248974,63.98118896086905
11.03212,0.05753194714101403,53.06136003184507
11.79334,0.04494683370391721,44.42524727533412
12.60708,0.07022942766237064,36.878217983531506
13.47697,0.05486674036122706,30.78355747259423
14.40688,0.08572928181441729,25.65023795377926
15.40095,0.133952002835027,21.30367182982578
16.46362,0.10465000221486484,17.817813488312883
17.59961,0.16351562846072631,14.7916951094878
18.81398,0.12774658473494244,12.315892630239546
20.11215,0.19960403864834753,10.2515895269622
21.49988,0.311881310388043,8.488027666186621
22.98338,0.2436572737406586,7.066154972977915
24.56923,0.38071449021977904,5.845952002845336
26.2645,0.5948663909684048,4.8329182302641955
28.07676,0.46473936794406623,4.015810641633875
30.01405,0.7261552624126034,3.3154874052967584
32.08502,1.1346175975196928,2.741950658863908
34.29889,0.88641999806226,2.285095961185324
36.66551,1.3850312469722814,1.893365949910505
39.19543,1.0820556616970949,1.5828305569486838
41.89992,1.6907119714017107,1.320300079995993
44.79101,2.641737455315173,1.104915475228282
47.88159,2.063857386964979,0.9346454541755395
51.18542,3.2247771671327796,0.7890111913266337
54.71721,2.519357161822484,0.6755226272251761
58.4927,3.9364955653476312,0.5803537438494341
62.5287,6.150774320855675,0.5023447657368036
66.84318,4.805292438168496,0.4424883723260652
71.45536,7.508269434638275,0.38930756799199984
76.38578,5.865835495811153,0.34527385654421094
81.6564,9.165367962204927,0.3067276545941486
87.29069,7.160443720472599,0.27726324473379954
93.31374,11.188193313238434,0.25045161944586597
99.75239,8.740776025967527,0.22987854185596818
106.6353,13.657462540574262,0.21095032161817184
113.9931,10.669892609823641,0.196145343515788
121.8587,16.67170720284944,0.18243711974923335
130.2669,13.024771252226124,0.17184962762677863
139.2553,10.175602540801659,0.16208474863106503
148.864,15.899378970002594,0.15338529591064892
159.1356,12.421389820314527,0.14660784828939927
170.1159,19.40842159424145,0.13971355914376993
181.8539,15.162829370501132,0.1343209152752958
194.4018,23.691920891408017,0.12853937690206926
207.8156,18.509313196412513,0.12433786080732868
222.1548,14.460400934697276,0.1205600979077009
237.4835,22.594376460464495,0.11623160304989293
253.8699,17.651856609737887,0.1128956713669868
271.3869,27.58102595271545,0.10874622850239651
290.1126,21.54767652555894,0.10573512454653006
310.1304,16.834122285592922,0.10292946157673098
331.5294,26.303316071238942,0.09965093688695353
354.4049,20.549465680655423,0.09712666663161722
378.8588,32.1085401260241,0.09392155255778765
405.0001,25.08479697345633,0.09151912762173392
