Energy,Optimal_t
0.01069,16.689300537109375
0.01142761,16.689300537109375
0.01221612,16.689300537109375
0.01305903,16.689300537109375
0.0139601,12.516975402832031
0.01492335,12.516975402832031
0.01595306,12.516975402832031
0.01705382,12.516975402832031
0.01823053,12.516975402832031
0.01948844,12.516975402832031
0.02083314,12.516975402832031
0.02227063,12.516975402832031
0.023226,12.516975402832031
0.0235815,12.516975402832031
0.0236763,12.516975402832031
0.0238073,12.516975402832031
0.0238185,12.516975402832031
0.024174,12.516975402832031
0.02545001,12.516975402832031
0.02720606,12.516975402832031
0.02908327,12.516975402832031
0.03109002,12.516975402832031
0.03323523,12.516975402832031
0.03552846,12.516975402832031
0.037044,12.516975402832031
0.037611,12.516975402832031
0.0377622,12.516975402832031
0.03797993,12.516975402832031
0.037989,12.516975402832031
0.038556,12.516975402832031
0.04060054,12.516975402832031
0.04340198,12.516975402832031
0.04639671,12.516975402832031
0.04959809,12.516975402832031
0.05302035,12.516975402832031
0.05667876,16.689300537109375
0.06058959,16.689300537109375
0.06477028,16.689300537109375
0.06517,16.689300537109375
0.0661675,25.033950805664062
0.0664335,25.033950805664062
0.0668325,25.033950805664062
0.06783,25.033950805664062
0.06923942,25.033950805664062
0.07401695,25.033950805664062
0.07912411,25.033950805664062
0.08458368,25.033950805664062
0.09041995,33.37860107421875
0.09665893,33.37860107421875
0.1033284,33.37860107421875
0.1104581,50.067901611328125
0.1180797,50.067901611328125
0.1262272,50.067901611328125
0.1349368,66.7572021484375
0.1442475,66.7572021484375
0.1542005,66.7572021484375
0.1648404,100.13580322265625
0.1762144,100.13580322265625
0.1883732,100.13580322265625
0.2013709,133.514404296875
0.2152655,133.514404296875
0.2301188,200.2716064453125
0.245997,200.2716064453125
0.2629708,200.2716064453125
0.2811158,200.2716064453125
0.3005128,267.02880859375
0.3212482,267.02880859375
0.3434143,400.543212890625
0.3671099,400.543212890625
0.3924405,400.543212890625
0.4195189,534.0576171875
0.4484657,534.0576171875
0.4794098,801.08642578125
0.502642,801.08642578125
0.51009,801.08642578125
0.5103355,801.08642578125
0.5124891,801.08642578125
0.5154645,801.08642578125
0.5178975,801.08642578125
0.5199795,534.0576171875
0.52136,534.0576171875
0.5231025,267.02880859375
0.523158,267.02880859375
0.52934,200.2716064453125
0.53091,200.2716064453125
0.531468,200.2716064453125
0.53466,200.2716064453125
0.54264,100.13580322265625
0.5478508,100.13580322265625
0.5856525,100.13580322265625
0.615636,100.13580322265625
0.625059,100.13580322265625
0.6260625,100.13580322265625
0.6275718,100.13580322265625
0.631341,133.514404296875
0.640764,133.514404296875
0.6692609,133.514404296875
0.7154399,133.514404296875
0.7648052,200.2716064453125
0.8175768,200.2716064453125
0.8739896,200.2716064453125
0.9342948,267.02880859375
0.9987612,400.543212890625
1.067676,400.543212890625
1.141345,400.543212890625
1.220098,534.0576171875
1.304285,801.08642578125
1.394281,801.08642578125
1.490486,801.08642578125
1.593329,1068.115234375
1.703269,1602.1728515625
1.820795,1602.1728515625
1.94643,1602.1728515625
2.080733,2136.23046875
2.224304,3204.345703125
2.377781,3204.345703125
2.541848,4272.4609375
2.717235,4272.4609375
2.904724,6408.69140625
3.10515,6408.69140625
3.319406,8544.921875
3.548445,8544.921875
3.793288,17089.84375
4.055024,17089.84375
4.334821,17089.84375
4.633924,25634.765625
4.953664,25634.765625
5.295467,25634.765625
5.355798,34179.6875
5.437774,34179.6875
5.459635,34179.6875
5.492425,6408.69140625
5.574402,6408.69140625
5.660855,6408.69140625
6.051453,6408.69140625
6.469004,8544.921875
6.915365,8544.921875
7.392525,17089.84375
7.902609,17089.84375
8.44789,17089.84375
9.030794,17089.84375
9.653919,34179.6875
10.32004,34179.6875
11.03212,34179.6875
11.79334,51269.53125
12.60708,51269.53125
13.47697,68359.375
14.40688,68359.375
15.40095,102539.0625
16.46362,102539.0625
17.59961,136718.75
18.81398,136718.75
20.11215,273437.5
21.49988,273437.5
22.98338,273437.5
24.56923,410156.25
26.2645,410156.25
28.07676,410156.25
30.01405,546875.0
32.08502,820312.5
34.29889,820312.5
36.66551,1093750.0
39.19543,1093750.0
41.89992,2187500.0
44.79101,2187500.0
47.88159,2187500.0
51.18542,3281250.0
54.71721,3281250.0
58.4927,3281250.0
62.5287,4375000.0
66.84318,6562500.0
71.45536,6562500.0
76.38578,6562500.0
81.6564,8750000.0
87.29069,8750000.0
93.31374,13125000.0
99.75239,13125000.0
106.6353,13125000.0
113.9931,13125000.0
121.8587,17500000.0
130.2669,17500000.0
139.2553,17500000.0
148.864,17500000.0
159.1356,26250000.0
170.1159,26250000.0
181.8539,26250000.0
194.4018,26250000.0
207.8156,26250000.0
222.1548,26250000.0
237.4835,35000000.0
253.8699,35000000.0
271.3869,35000000.0
290.1126,35000000.0
310.1304,35000000.0
331.5294,35000000.0
354.4049,52500000.0
378.8588,52500000.0
405.0001,52500000.0
