Energy,Optimal_t
0.53431424,519.9841022491455
0.53698581,519.9841022491455
0.53967074,519.9841022491455
0.5423691,519.9841022491455
0.54508094,519.9841022491455
0.54780635,519.9841022491455
0.55054538,519.9841022491455
0.5532981,519.9841022491455
0.5560646,519.9841022491455
0.55884492,519.9841022491455
0.56163914,519.9841022491455
0.56444734,519.9841022491455
0.56726958,605.8147859573364
0.57010592,605.8147859573364
0.57295645,605.8147859573364
0.57582123,605.8147859573364
0.57870034,605.8147859573364
0.58159384,605.8147859573364
0.58450181,605.8147859573364
0.58742432,605.8147859573364
0.59036144,605.8147859573364
0.59331325,605.8147859573364
0.59410753,605.8147859573364
0.59589253,605.8147859573364
0.59627982,605.8147859573364
0.59926122,605.8147859573364
0.60225752,691.6454696655273
0.60526881,691.6454696655273
0.60829515,691.6454696655273
0.61133663,691.6454696655273
0.61439331,691.6454696655273
0.61746528,691.6454696655273
0.6205526,691.6454696655273
0.62365537,691.6454696655273
0.62677364,691.6454696655273
0.62990751,691.6454696655273
0.63305705,863.3068370819092
0.63622234,863.3068370819092
0.63940345,863.3068370819092
0.64260046,863.3068370819092
0.64581347,863.3068370819092
0.64904253,863.3068370819092
0.65228775,863.3068370819092
0.65554919,863.3068370819092
0.65882693,863.3068370819092
0.66212107,863.3068370819092
0.66543167,863.3068370819092
0.66875883,863.3068370819092
0.67210262,863.3068370819092
0.67546314,863.3068370819092
0.67884045,863.3068370819092
0.68223466,863.3068370819092
0.68564583,863.3068370819092
0.68907406,863.3068370819092
0.69251943,1034.968204498291
0.69598202,1034.968204498291
0.69946194,1034.968204498291
0.70295924,1034.968204498291
0.70647404,1034.968204498291
0.71000641,1034.968204498291
0.71355644,1034.968204498291
0.71712423,1034.968204498291
0.72070985,1034.968204498291
0.7243134,1034.968204498291
0.72793496,1034.968204498291
0.73157464,1034.968204498291
0.73523251,1034.968204498291
0.73890867,1034.968204498291
0.74260322,1206.6295719146729
0.74631623,1206.6295719146729
0.75004781,1206.6295719146729
0.75379805,1206.6295719146729
0.75756704,1206.6295719146729
0.76135488,1206.6295719146729
0.76516165,1206.6295719146729
0.76898746,1206.6295719146729
0.7728324,1206.6295719146729
0.77669656,1206.6295719146729
0.78058004,1206.6295719146729
0.78448294,1206.6295719146729
0.78840536,1378.2909393310547
0.79234738,1378.2909393310547
0.79630912,1378.2909393310547
0.80029067,1378.2909393310547
0.80429212,1378.2909393310547
0.80831358,1378.2909393310547
0.81235515,1378.2909393310547
0.81641693,1378.2909393310547
0.82049901,1378.2909393310547
0.8246015,1378.2909393310547
0.82872451,1721.6136741638184
0.83286813,1721.6136741638184
0.83703248,1721.6136741638184
0.84121764,1721.6136741638184
0.84542373,1721.6136741638184
0.84965084,1721.6136741638184
0.8538991,1721.6136741638184
0.85816859,1721.6136741638184
0.86245944,1721.6136741638184
0.86677173,1721.6136741638184
0.87110559,1721.6136741638184
0.87546112,1721.6136741638184
0.87983843,1721.6136741638184
0.88423762,1721.6136741638184
0.88865881,1721.6136741638184
0.8931021,1721.6136741638184
0.89756761,1721.6136741638184
0.90205545,1721.6136741638184
0.90656573,2064.936408996582
0.91109856,2064.936408996582
0.91565405,2064.936408996582
0.92023232,2064.936408996582
0.92483348,2064.936408996582
0.92945765,2064.936408996582
0.93410494,2064.936408996582
0.93877546,2064.936408996582
0.94346934,2064.936408996582
0.94818668,2064.936408996582
0.95292762,2064.936408996582
0.95769226,2064.936408996582
0.96248072,2064.936408996582
0.96729312,2064.936408996582
0.97212959,2408.2591438293457
0.97699023,2408.2591438293457
0.98187519,2408.2591438293457
0.98678456,2408.2591438293457
0.99171848,2408.2591438293457
0.99667708,2408.2591438293457
1.0016605,2408.2591438293457
1.0066688,2408.2591438293457
1.0117021,2408.2591438293457
1.0167606,2408.2591438293457
1.0218444,2408.2591438293457
1.0269536,2751.5818786621094
1.0320884,2751.5818786621094
1.0372489,2751.5818786621094
1.0424351,2751.5818786621094
1.0476473,2751.5818786621094
1.0528855,2751.5818786621094
1.0581499,2751.5818786621094
1.0634407,2751.5818786621094
1.0687579,2751.5818786621094
1.0741017,2751.5818786621094
1.0794722,3438.2273483276367
1.0848695,3438.2273483276367
1.0902939,3438.2273483276367
1.0957454,3438.2273483276367
1.1012241,3438.2273483276367
1.1067302,3438.2273483276367
1.1122639,3438.2273483276367
1.1178252,3438.2273483276367
1.1234143,3438.2273483276367
1.1290314,3438.2273483276367
1.1346765,3438.2273483276367
1.1403499,3438.2273483276367
1.1460517,3438.2273483276367
1.1517819,3438.2273483276367
1.1575408,3438.2273483276367
1.1633285,3438.2273483276367
1.1691452,3438.2273483276367
1.1749909,4124.872817993164
1.1808659,4124.872817993164
1.1867702,4124.872817993164
1.192704,4124.872817993164
1.1986676,4124.872817993164
1.2046609,4124.872817993164
1.2106842,4124.872817993164
1.2167376,4124.872817993164
1.2228213,4124.872817993164
1.2289354,4124.872817993164
1.2350801,4124.872817993164
1.2412555,4124.872817993164
1.2474618,4124.872817993164
1.2536991,4124.872817993164
1.2599676,4811.518287658691
1.2662674,4811.518287658691
1.2725988,4811.518287658691
1.2789618,4811.518287658691
1.2853566,4811.518287658691
1.2917833,4811.518287658691
1.2982423,4811.518287658691
1.3047335,4811.518287658691
1.3112571,4811.518287658691
1.3178134,4811.518287658691
1.3244025,4811.518287658691
1.3310245,4811.518287658691
1.3376796,5498.163757324219
1.344368,5498.163757324219
1.3510899,5498.163757324219
1.3578453,5498.163757324219
1.3646345,5498.163757324219
1.3714577,5498.163757324219
1.378315,5498.163757324219
1.3852066,5498.163757324219
1.3921326,5498.163757324219
1.3990933,5498.163757324219
1.4060887,6871.454696655273
1.4131192,6871.454696655273
1.4201848,6871.454696655273
1.4272857,6871.454696655273
1.4344221,6871.454696655273
1.4415942,6871.454696655273
1.4488022,6871.454696655273
1.4560462,6871.454696655273
1.4633265,6871.454696655273
1.4706431,6871.454696655273
1.4779963,6871.454696655273
1.4853863,6871.454696655273
1.4928132,6871.454696655273
1.5002773,6871.454696655273
1.5077787,6871.454696655273
1.5153176,6871.454696655273
1.5228942,8244.745635986328
1.5305086,8244.745635986328
1.5381612,8244.745635986328
1.545852,8244.745635986328
1.5535812,8244.745635986328
1.5613491,8244.745635986328
1.5691559,8244.745635986328
1.5770017,8244.745635986328
1.5848867,8244.745635986328
1.5928111,8244.745635986328
1.6007752,8244.745635986328
1.608779,8244.745635986328
1.6168229,8244.745635986328
1.624907,8244.745635986328
1.6330316,9618.036575317383
1.6411967,9618.036575317383
1.6494027,9618.036575317383
1.6576497,9618.036575317383
1.665938,9618.036575317383
1.6742677,9618.036575317383
1.682639,9618.036575317383
1.6910522,9618.036575317383
1.6995075,9618.036575317383
1.708005,9618.036575317383
1.716545,9618.036575317383
1.7251278,10991.327514648438
1.7337534,10991.327514648438
1.7424222,10991.327514648438
1.7511343,10991.327514648438
1.7598899,10991.327514648438
